,A,B,C,D,E,F,G,H
297,-0.006,0.0,-0.025,0.011,-0.323,0.051,-0.399,8302.629640503568
298,0.001,0.01,-0.018,-0.006,0.181,0.046,-0.26,8089.72421623487
299,-0.018,0.008,-0.007,-0.026,0.277,0.02,-0.019,7875.981876967198
300,0.0,0.011,-0.015,0.007,-0.336,0.028,-0.348,7527.981206979166
301,0.001,0.014,-0.003,0.004,-0.227,0.036,-0.489,6707.571213110408
302,-0.004,0.014,-0.001,-0.014,-0.085,0.026,-0.529,5259.552112209989
303,-0.014,0.0,-0.017,-0.009,0.794,0.018,-0.157,4800.735031441043
304,0.001,0.029,0.0,-0.026,-0.03,-0.01,-0.213,5437.37397918092
305,0.01,0.013,-0.029,0.037,0.07,0.024,-0.177,5509.737217919406
306,-0.015,0.004,-0.021,-0.007,-0.054,0.013,-0.213,5686.6143844905455
307,-0.003,0.005,-0.02,0.016,-0.206,0.026,-0.347,5720.936250208295
308,-0.013,0.007,-0.017,-0.007,0.104,0.012,-0.3,5532.671953709927
309,0.021,0.021,-0.005,-0.0,-0.085,0.004,-0.348,5245.13368451377
310,0.012,0.009,-0.002,0.003,0.24,0.002,-0.157,4938.261360353252
311,0.012,0.008,-0.008,0.016,-0.176,0.014,-0.293,4697.607901900716
312,0.01,0.005,-0.01,0.011,-0.234,0.021,-0.435,4615.067314329179
313,-0.002,0.011,-0.003,-0.007,-0.013,0.01,-0.42,4332.25552048086
314,0.02,0.0,-0.015,0.027,0.732,0.035,0.038,4440.2200040325115
315,0.012,0.004,-0.023,0.027,0.277,0.059,0.371,4961.851946283976
316,-0.019,0.012,-0.004,-0.022,-0.316,0.036,-0.078,5343.629359980172
317,-0.012,0.003,-0.017,0.005,-0.012,0.041,-0.071,5728.420743147828
318,-0.001,0.028,-0.008,-0.029,0.357,0.012,0.268,5773.333981605247
319,-0.025,0.002,-0.023,-0.001,0.054,0.013,0.308,5752.0939894231415
320,0.0,0.0,-0.033,0.033,0.086,0.049,0.45,6119.1137989263225
321,0.024,0.012,-0.011,0.016,0.68,0.068,1.525,6706.09589144557
322,0.0,0.0,0.0,0.0,0.0,0.07,1.627,7053.569458455997
323,0.0,0.0,0.0,0.0,0.305,0.073,2.394,7165.130769732568
324,0.0,0.0,0.0,0.0,0.0,0.078,2.374,6660.755133419065
325,0.0,0.039,-0.002,-0.021,0.0,0.056,2.333,6436.447532770326
